game_id,at_bat_index,event_type,batter_id,pitcher_id,event_description,coord_x,coord_y,savant_url
32869,16,field_out,683002,608331,"Gunnar Henderson grounds out, second baseman Ozzie Albies to first baseman Matt Olson. Ryan McKenna scores.",,,https://baseballsavant.mlb.com/savant-player/683002?stats=statcast-r-hitting-mlb&season=2032
35776,46,field_out,665862,676664,Jazz Chisholm Jr. flies out to center fielder Esteury Ruiz.,,,https://baseballsavant.mlb.com/savant-player/665862?stats=statcast-r-hitting-mlb&season=2035
41782,39,force_out,593934,669459,"Miguel Sano grounds into a force out, fielded by second baseman Cesar Hernandez. Max Kepler out at 2nd. Miguel Sano to 1st.",,,https://baseballsavant.mlb.com/savant-player/593934?stats=statcast-r-hitting-mlb&season=2041
21402,39,force_out,593934,669459,"Miguel Sano grounds into a force out, fielded by second baseman Cesar Hernandez. Max Kepler out at 2nd. Miguel Sano to 1st.",,,https://baseballsavant.mlb.com/savant-player/593934?stats=statcast-r-hitting-mlb&season=2021
38656,36,field_out,663993,666157,"Nathaniel Lowe grounds out, shortstop Elly De La Cruz to first baseman Spencer Steer.",,,https://baseballsavant.mlb.com/savant-player/663993?stats=statcast-r-hitting-mlb&season=2038
41886,73,field_out,593160,573668,"Whit Merrifield grounds out, second baseman Jorge Polanco to first baseman Miguel Sano. Jarrod Dyson to 2nd.",,,https://baseballsavant.mlb.com/savant-player/593160?stats=statcast-r-hitting-mlb&season=2041
21506,73,field_out,593160,573668,"Whit Merrifield grounds out, second baseman Jorge Polanco to first baseman Miguel Sano. Jarrod Dyson to 2nd.",,,https://baseballsavant.mlb.com/savant-player/593160?stats=statcast-r-hitting-mlb&season=2021
32979,29,single,677951,605288,Bobby Witt Jr. singles on a line drive to left fielder Christian Yelich. Nate Eaton to 2nd.,,,https://baseballsavant.mlb.com/savant-player/677951?stats=statcast-r-hitting-mlb&season=2032
21509,32,force_out,642221,608344,"Kean Wong grounds into a force out, shortstop Elvis Andrus to second baseman Jed Lowrie. Taylor Ward out at 2nd. Kean Wong to 1st.",,,https://baseballsavant.mlb.com/savant-player/642221?stats=statcast-r-hitting-mlb&season=2021
41889,32,force_out,642221,608344,"Kean Wong grounds into a force out, shortstop Elvis Andrus to second baseman Jed Lowrie. Taylor Ward out at 2nd. Kean Wong to 1st.",,,https://baseballsavant.mlb.com/savant-player/642221?stats=statcast-r-hitting-mlb&season=2041
32989,49,field_out,664034,669438,"Ty France grounds out, shortstop Javier Baez to first baseman Spencer Torkelson.",,,https://baseballsavant.mlb.com/savant-player/664034?stats=statcast-r-hitting-mlb&season=2032
41918,11,force_out,605421,663903,"Michael Perez grounds into a force out, fielded by shortstop Nicky Lopez. Kevin Newman out at 2nd.",,,https://baseballsavant.mlb.com/savant-player/605421?stats=statcast-r-hitting-mlb&season=2041
41918,54,field_out,668804,622092,Bryan Reynolds grounds out to catcher Salvador Perez. Bryan Reynolds out on batter interference.,,,https://baseballsavant.mlb.com/savant-player/668804?stats=statcast-r-hitting-mlb&season=2041
21538,11,force_out,605421,663903,"Michael Perez grounds into a force out, fielded by shortstop Nicky Lopez. Kevin Newman out at 2nd.",,,https://baseballsavant.mlb.com/savant-player/605421?stats=statcast-r-hitting-mlb&season=2021
21538,54,field_out,668804,622092,Bryan Reynolds grounds out to catcher Salvador Perez. Bryan Reynolds out on batter interference.,,,https://baseballsavant.mlb.com/savant-player/668804?stats=statcast-r-hitting-mlb&season=2021
35910,67,triple,645801,656464,Mike Ford triples (1) on a fly ball to right fielder Jake McCarthy. Jeimer Candelario scores.,,,https://baseballsavant.mlb.com/savant-player/645801?stats=statcast-r-hitting-mlb&season=2035
30107,3,field_out,669720,676664,Austin Hays pops out to shortstop Isiah Kiner-Falefa on the infield fly rule.,,,https://baseballsavant.mlb.com/savant-player/669720?stats=statcast-r-hitting-mlb&season=2030
33042,18,field_out,668939,542881,Adley Rutschman flies out to right fielder Hunter Renfroe in foul territory.,,,https://baseballsavant.mlb.com/savant-player/668939?stats=statcast-r-hitting-mlb&season=2033
38831,56,field_out,671221,669467,Drew Waters grounds out to first baseman Willson Contreras.,,,https://baseballsavant.mlb.com/savant-player/671221?stats=statcast-r-hitting-mlb&season=2038
21617,5,field_out,668804,621111,Bryan Reynolds grounds out to first baseman Max Muncy.,,,https://baseballsavant.mlb.com/savant-player/668804?stats=statcast-r-hitting-mlb&season=2021
41997,5,field_out,668804,621111,Bryan Reynolds grounds out to first baseman Max Muncy.,,,https://baseballsavant.mlb.com/savant-player/668804?stats=statcast-r-hitting-mlb&season=2041
42006,67,single,650402,573124,Gleyber Torres singles on a sharp ground ball to left fielder Trevor Larnach. DJ LeMahieu to 3rd. Aaron Judge to 2nd.,,,https://baseballsavant.mlb.com/savant-player/650402?stats=statcast-r-hitting-mlb&season=2042
21626,67,single,650402,573124,Gleyber Torres singles on a sharp ground ball to left fielder Trevor Larnach. DJ LeMahieu to 3rd. Aaron Judge to 2nd.,,,https://baseballsavant.mlb.com/savant-player/650402?stats=statcast-r-hitting-mlb&season=2021
42008,20,field_out,467793,571760,Carlos Santana bunt grounds out to catcher Max Stassi. Carlos Santana out on batter interference.,,,https://baseballsavant.mlb.com/savant-player/467793?stats=statcast-r-hitting-mlb&season=2042
21628,20,field_out,467793,571760,Carlos Santana bunt grounds out to catcher Max Stassi. Carlos Santana out on batter interference.,,,https://baseballsavant.mlb.com/savant-player/467793?stats=statcast-r-hitting-mlb&season=2021
21632,12,single,641796,640455,Tim Locastro singles on a ground ball to right fielder Seth Brown. Nick Ahmed to 3rd.,,,https://baseballsavant.mlb.com/savant-player/641796?stats=statcast-r-hitting-mlb&season=2021
42012,12,single,641796,640455,Tim Locastro singles on a ground ball to right fielder Seth Brown. Nick Ahmed to 3rd.,,,https://baseballsavant.mlb.com/savant-player/641796?stats=statcast-r-hitting-mlb&season=2042
21660,18,field_out,514917,643290,Cesar Hernandez flies out to center fielder Dillon Thomas.,,,https://baseballsavant.mlb.com/savant-player/514917?stats=statcast-r-hitting-mlb&season=2021
42040,18,field_out,514917,643290,Cesar Hernandez flies out to center fielder Dillon Thomas.,,,https://baseballsavant.mlb.com/savant-player/514917?stats=statcast-r-hitting-mlb&season=2042
21690,72,field_out,608070,608665,"Jose Ramirez grounds out, second baseman Dylan Moore to first baseman Ty France.",,,https://baseballsavant.mlb.com/savant-player/608070?stats=statcast-r-hitting-mlb&season=2021
42070,72,field_out,608070,608665,"Jose Ramirez grounds out, second baseman Dylan Moore to first baseman Ty France.",,,https://baseballsavant.mlb.com/savant-player/608070?stats=statcast-r-hitting-mlb&season=2042
36048,26,single,592192,666201,Mark Canha singles on a sharp ground ball to third baseman Isiah Kiner-Falefa. Riley Greene to 3rd.,,,https://baseballsavant.mlb.com/savant-player/592192?stats=statcast-r-hitting-mlb&season=2036
38943,17,force_out,643289,693433,"Mauricio Dubón grounds into a force out, second baseman Leo Rivas to shortstop J.P. Crawford. Zach Dezenzo out at 2nd. Mauricio Dubón to 1st.",,,https://baseballsavant.mlb.com/savant-player/643289?stats=statcast-r-hitting-mlb&season=2038
30262,64,single,592273,644364,Brandon Drury singles on a soft ground ball to pitcher Victor Arano.,,,https://baseballsavant.mlb.com/savant-player/592273?stats=statcast-r-hitting-mlb&season=2030
33214,51,field_out,650402,642048,Gleyber Torres grounds out to catcher Tom Murphy. Gleyber Torres out on batter interference.,,,https://baseballsavant.mlb.com/savant-player/650402?stats=statcast-r-hitting-mlb&season=2033
39003,59,field_out,521692,682825,"Salvador Perez grounds out sharply, shortstop Elly De La Cruz to first baseman Spencer Steer.",,,https://baseballsavant.mlb.com/savant-player/521692?stats=statcast-r-hitting-mlb&season=2039
33225,50,double,680911,641835,Owen Miller doubles (10) on a line drive to left fielder Daulton Varsho. Joey Wiemer scores. Christian Yelich scores.,,,https://baseballsavant.mlb.com/savant-player/680911?stats=statcast-r-hitting-mlb&season=2033
